month,county_join,county_label,state_join,state_label,settlement_count,assessment_count,,,,,
2019-11-01,AweilEast,Aweil East,NorthernBahrelGhazal,Northern Bahr el Ghazal,714,88,,,,,
2019-11-01,AweilNorth,Aweil North,NorthernBahrelGhazal,Northern Bahr el Ghazal,352,70,,,,,
2019-11-01,AweilSouth,Aweil South,NorthernBahrelGhazal,Northern Bahr el Ghazal,316,51,,,,,
2019-11-01,AweilWest,Aweil West,NorthernBahrelGhazal,Northern Bahr el Ghazal,370,51,,,,,
2019-11-01,Abiemnhom,Abiemnhom,Unity,Unity,23,10,,,,,
2019-11-01,Guit,Guit,Unity,Unity,194,18,,,,,
2019-11-01,Koch,Koch,Unity,Unity,437,28,,,,,
2019-11-01,Leer,Leer,Unity,Unity,346,40,,,,,
2019-11-01,Mayendit,Mayendit,Unity,Unity,366,42,,,,,
2019-11-01,Mayom,Mayom,Unity,Unity,163,16,,,,,
2019-11-01,Panyijiar,Panyijiar,Unity,Unity,479,43,,,,,
2019-11-01,Pariang,Pariang,Unity,Unity,177,88,,,,,
2019-11-01,Rubkona,Rubkona,Unity,Unity,289,27,,,,,
2019-11-01,Baliet,Baliet,UpperNile,Upper Nile,130,19,,,,,
2019-11-01,Fashoda,Fashoda,UpperNile,Upper Nile,199,40,,,,,
2019-11-01,Longochuk,Longochuk,UpperNile,Upper Nile,101,0,,,,,
2019-11-01,LuakpinyNasir,Luakpiny/Nasir,UpperNile,Upper Nile,156,26,,,,,
2019-11-01,Maban,Maban,UpperNile,Upper Nile,122,15,,,,,
2019-11-01,Maiwut,Maiwut,UpperNile,Upper Nile,82,0,,,,,
2019-11-01,Malakal,Malakal,UpperNile,Upper Nile,121,28,,,,,
2019-11-01,Manyo,Manyo,UpperNile,Upper Nile,81,12,,,,,
2019-11-01,Melut,Melut,UpperNile,Upper Nile,219,31,,,,,
2019-11-01,Panyikang,Panyikang,UpperNile,Upper Nile,98,23,,,,,
2019-11-01,Renk,Renk,UpperNile,Upper Nile,287,40,,,,,
2019-11-01,Ulang,Ulang,UpperNile,Upper Nile,139,31,,,,,
2019-11-01,GogrialEast,Gogrial East,Warrap,Warrap,252,28,,,,,
2019-11-01,GogrialWest,Gogrial West,Warrap,Warrap,350,40,,,,,
2019-11-01,TonjEast,Tonj East,Warrap,Warrap,73,8,,,,,
2019-11-01,TonjNorth,Tonj North,Warrap,Warrap,378,38,,,,,
2019-11-01,TonjSouth,Tonj South,Warrap,Warrap,91,12,,,,,
2019-11-01,Twic,Twic,Warrap,Warrap,350,38,,,,,
2019-11-01,JurRiver,Jur River,WesternBahrelGhazal,Western Bahr el Ghazal,812,60,,,,,
2019-11-01,Raja,Raja,WesternBahrelGhazal,Western Bahr el Ghazal,345,42,,,,,
2019-11-01,Wau,Wau,WesternBahrelGhazal,Western Bahr el Ghazal,345,56,,,,,
2019-11-01,Ezo,Ezo,WesternEquatoria,Western Equatoria,139,14,,,,,
2019-11-01,Ibba,Ibba,WesternEquatoria,Western Equatoria,89,19,,,,,
2019-11-01,Maridi,Maridi,WesternEquatoria,Western Equatoria,215,18,,,,,
2019-11-01,MundriEast,Mundri East,WesternEquatoria,Western Equatoria,121,22,,,,,
2019-11-01,MundriWest,Mundri West,WesternEquatoria,Western Equatoria,163,15,,,,,
2019-11-01,Mvolo,Mvolo,WesternEquatoria,Western Equatoria,145,18,,,,,
2019-11-01,Nagero,Nagero,WesternEquatoria,Western Equatoria,46,4,,,,,
2019-11-01,Nzara,Nzara,WesternEquatoria,Western Equatoria,144,15,,,,,
2019-11-01,Tambura,Tambura,WesternEquatoria,Western Equatoria,168,15,,,,,
2019-11-01,Yambio,Yambio,WesternEquatoria,Western Equatoria,215,18,,,,,
2019-10-01,Juba,Juba,CentralEquatoria,Central Equatoria,428,37,,,,,
2019-10-01,Kajo_keji,Kajo-keji,CentralEquatoria,Central Equatoria,270,14,,,,,
2019-10-01,Lainya,Lainya,CentralEquatoria,Central Equatoria,217,1,,,,,
2019-10-01,Morobo,Morobo,CentralEquatoria,Central Equatoria,137,0,,,,,
2019-10-01,Terekeka,Terekeka,CentralEquatoria,Central Equatoria,371,31,,,,,
2019-10-01,Yei,Yei,CentralEquatoria,Central Equatoria,254,23,,,,,
2019-10-01,Budi,Budi,EasternEquatoria,Eastern Equatoria,226,13,,,,,
2019-10-01,Ikotos,Ikotos,EasternEquatoria,Eastern Equatoria,231,0,,,,,
2019-10-01,KapoetaEast,Kapoeta East,EasternEquatoria,Eastern Equatoria,520,34,,,,,
2019-10-01,KapoetaNorth,Kapoeta North,EasternEquatoria,Eastern Equatoria,167,11,,,,,
2019-10-01,KapoetaSouth,Kapoeta South,EasternEquatoria,Eastern Equatoria,74,6,,,,,
2019-10-01,Lafon,Lafon,EasternEquatoria,Eastern Equatoria,99,0,,,,,
2019-10-01,Magwi,Magwi,EasternEquatoria,Eastern Equatoria,135,9,,,,,
2019-10-01,Torit,Torit,EasternEquatoria,Eastern Equatoria,242,18,,,,,
2019-10-01,Akobo,Akobo,Jonglei,Jonglei,189,45,,,,,
